NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
1,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,12,0,0,0,1,1,1,1
1,2,7,48,1,1,0,0,0,0,0,0,0,6,0,0,,0,7,41,0,0,0,1,1,1,1
1,2,4,28,0,0,0,0,0,0,0,0,0,1,0,0,,0,12,16,0,0,0,1,1,1,1
5,4,3,67,0,0,0,0,0,0,1,0,0,1,0,0,,0,13,17,36,0,0,1,1,1,1
7,8,6,84,1,1,0,0,2,0,2,1,0,11,0,0,,0,39,21,23,0,0,1,1,1,1
2,3,3,112,0,0,0,0,1,0,1,0,0,28,0,0,,0,10,25,76,0,0,1,1,1,1
4,5,5,53,1,1,0,0,0,0,0,0,0,0,0,0,,0,19,34,0,0,0,1,1,1,1
4,5,9,96,0,0,0,0,0,0,0,0,0,0,0,0,,0,25,71,0,0,0,1,1,1,1
2,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,14,0,0,0,1,1,1,1
3,4,4,56,0,0,0,0,0,0,0,0,0,24,0,0,,0,29,27,0,0,0,1,1,1,1
3,4,4,53,0,0,0,0,0,0,0,0,0,3,0,0,,0,36,17,0,0,0,1,1,1,1
3,4,2,29,0,0,0,0,0,0,0,0,0,15,0,0,,0,19,10,0,0,0,1,1,1,1
3,4,2,22,0,0,0,0,0,0,0,0,0,5,0,0,,0,21,1,0,0,0,1,1,1,1
1,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,1,0,0,0,1,1,1,1
8,9,14,288,5,5,0,0,0,0,0,0,0,89,0,1,,0,19,269,0,0,0,1,1,1,1
2,3,3,182,1,0,0,0,1,0,2,1,0,87,0,1,,0,9,16,156,0,0,1,1,1,1
2,3,5,48,0,0,0,0,0,0,0,0,0,4,0,0,,0,17,31,0,0,0,1,1,1,1
2,3,2,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,18,0,0,0,1,1,1,1
2,3,14,131,0,0,0,1,0,0,0,0,0,55,0,1,,0,14,117,0,0,0,1,1,1,1
2,3,2,23,0,0,0,0,0,0,0,0,0,1,0,0,,0,13,10,0,0,1,1,1,1,1
4,5,5,41,0,0,0,0,2,0,0,0,0,1,0,0,,0,16,25,0,0,0,1,1,1,1
1,2,6,31,0,0,0,0,0,0,0,0,0,4,0,0,,0,11,20,0,0,0,1,1,1,1
2,3,2,24,0,0,0,0,0,0,0,0,0,0,0,0,,0,23,1,0,0,0,1,1,1,1
2,3,2,24,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,8,0,0,0,1,1,1,1
4,5,6,70,1,1,0,0,0,0,0,0,0,0,0,0,,0,25,45,0,0,0,1,1,1,1
2,3,2,29,0,0,0,0,0,0,0,0,0,2,0,0,,0,28,1,0,0,0,1,1,1,1
6,7,8,88,1,1,0,0,0,0,0,0,0,0,0,0,,0,19,69,0,1,0,1,1,1,1
1,2,3,26,0,0,0,0,0,0,0,0,0,7,0,0,,0,4,22,0,0,0,1,1,1,1
3,4,5,42,0,0,0,0,0,0,0,0,0,17,0,0,,0,17,25,0,0,0,1,1,1,1
20,21,4,421,0,0,0,0,1,0,2,1,0,171,0,1,,0,162,101,157,0,1,1,1,1,1
