NumDots,NumNumericChars,SubdomainLevel,RandomString,UrlLength,QueryLength,PathLevel,NumDashInHostname,HostnameLength,NumDash,NumQueryComponents,HttpsInHostname,IpAddress,NumUnderscore,Label
1,4,2,0,77,0,3,7,21,7,0,0,0,0,0
1,0,2,0,10,0,2,1,9,1,0,0,0,0,0
3,0,4,0,27,0,2,0,18,0,0,0,0,0,0
1,4,2,0,34,0,4,2,23,2,0,0,0,0,0
3,15,4,0,61,25,3,0,20,0,1,0,0,0,0
3,14,4,0,61,25,3,0,20,0,1,0,0,0,0
3,0,4,0,33,0,3,0,13,0,0,0,0,0,0
1,6,2,0,113,0,4,1,13,1,0,0,0,10,0
1,0,2,0,18,0,4,1,8,1,0,0,0,0,0
2,0,3,0,35,0,2,0,34,0,0,0,0,0,0
3,16,3,0,58,33,2,0,10,6,1,0,0,0,0
1,0,2,0,19,0,2,0,12,0,0,0,0,0,0
2,0,3,0,31,0,2,1,13,1,0,0,0,0,0
2,5,3,0,46,7,3,0,17,0,1,0,0,0,0
1,5,2,0,57,0,3,0,9,0,0,0,0,0,0
2,3,3,0,43,0,3,0,11,0,0,0,0,2,0
3,0,4,0,33,0,3,1,18,1,0,0,0,0,0
1,1,2,0,31,13,2,0,11,0,1,0,0,0,0
1,13,2,0,90,0,6,6,12,6,0,0,0,0,0
2,8,3,0,81,0,3,6,19,6,0,0,0,0,0
2,7,3,0,75,50,2,0,14,0,3,0,0,1,0
1,20,2,0,42,0,5,0,10,0,0,0,0,0,0
2,4,3,0,27,0,3,0,14,0,0,0,0,0,0
2,2,3,0,36,14,2,0,12,0,1,0,0,0,0
1,0,2,0,33,0,5,0,12,0,0,0,0,0,0
1,0,2,0,52,0,3,0,17,0,0,0,0,4,0
2,0,3,0,32,0,3,0,16,0,0,0,0,1,0
2,0,3,0,29,0,3,1,13,1,0,0,0,0,0
2,0,3,0,57,0,4,0,13,0,0,0,0,4,0
1,3,2,0,31,13,2,0,11,0,1,0,0,0,0
1,10,2,0,64,0,4,4,10,4,0,0,0,0,0
1,1,2,0,43,0,4,2,11,2,0,0,0,0,0
1,0,2,0,159,0,6,14,22,14,0,0,0,0,0
2,0,3,0,43,0,4,2,10,2,0,0,0,0,0
1,1,2,0,36,0,4,0,14,0,0,0,0,1,0
1,14,2,0,107,0,6,10,19,10,0,0,0,0,0
2,0,3,0,45,0,3,0,19,0,0,0,0,2,0
1,0,2,0,18,0,2,0,12,0,0,0,0,0,0
1,9,2,0,46,0,4,1,12,1,0,0,0,0,0
2,0,3,0,28,0,2,0,27,0,0,0,0,0,0
1,0,2,0,37,0,4,0,15,0,0,0,0,1,0
2,7,3,0,42,14,2,0,16,0,2,0,0,0,0
2,0,3,0,51,0,3,0,13,0,0,0,0,3,0
2,0,3,0,29,0,2,0,18,0,0,0,0,0,0
4,0,5,0,44,0,4,0,20,0,0,0,0,0,0
2,5,3,0,84,0,3,8,18,8,0,0,0,0,0
3,0,4,0,75,0,5,3,20,3,0,0,0,0,0
2,7,3,0,68,0,5,0,19,0,0,0,0,0,0
1,0,2,0,31,13,2,0,11,0,1,0,0,0,0
2,0,3,0,28,0,4,0,16,0,0,0,0,0,0
1,0,2,0,111,0,6,0,12,0,0,0,0,11,0
2,0,3,0,44,0,3,0,12,0,0,0,0,0,0
1,2,2,0,35,0,3,2,16,2,0,0,0,0,0
2,0,3,0,33,0,2,0,32,0,0,0,0,0,0
2,3,3,0,26,0,3,0,14,0,0,0,0,0,0
2,6,3,0,81,0,4,7,17,7,0,0,0,0,0
1,14,2,0,133,0,8,17,25,17,0,0,0,0,0
2,0,3,0,33,0,2,0,11,0,0,0,0,0,0
2,4,3,0,76,50,2,0,11,0,3,0,0,0,0
1,1,2,0,31,13,2,0,11,0,1,0,0,0,0
4,12,3,0,92,66,3,0,11,1,4,0,0,0,0
2,0,3,0,43,0,4,0,13,0,0,0,0,0,0
1,0,2,0,28,0,3,1,12,1,0,0,0,0,0
1,2,2,0,26,0,3,1,10,1,0,0,0,0,0
2,0,3,0,51,0,3,0,16,0,0,0,0,3,0
2,0,3,0,33,0,4,0,12,0,0,0,0,0,0
1,6,2,0,51,0,5,1,14,1,0,0,0,0,0
1,3,2,0,29,0,3,0,12,0,0,0,0,0,0
3,0,4,0,41,0,4,0,13,0,0,0,0,0,0
2,0,3,0,28,0,3,0,16,0,0,0,0,0,0
2,3,3,0,23,0,3,0,18,0,0,0,0,0,0
2,0,3,0,33,0,3,0,16,0,0,0,0,1,0
3,7,4,0,41,0,5,0,16,0,0,0,0,0,0
2,1,3,0,54,0,2,6,17,6,0,0,0,0,0
1,0,2,0,35,0,5,0,8,0,0,0,0,0,0
2,0,3,0,26,0,3,0,15,0,0,0,0,0,0
1,8,2,0,133,0,6,17,13,17,0,0,0,0,0
1,0,2,0,23,0,2,0,22,0,0,0,0,0,0
2,0,3,0,37,0,2,2,17,2,0,0,0,0,0
1,7,2,0,43,0,3,2,18,2,0,0,0,0,0
2,0,3,0,41,0,2,0,24,0,0,0,0,0,0
1,0,2,0,20,0,2,0,19,0,0,0,0,0,0
2,8,3,0,101,0,5,11,24,11,0,0,0,0,0
