NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,TinyURL,iFrame,Mouse_Over,Web_Forwards,Label
1,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,1,0,0,0,1,1,1,0
4,5,4,44,2,2,0,0,0,0,0,0,0,6,0,0,,0,14,30,0,0,0,1,1,1,0
1,2,4,57,4,4,0,0,0,0,0,0,0,10,0,0,,0,10,47,0,0,0,1,1,1,0
1,2,2,50,4,4,0,0,0,0,0,0,0,0,0,0,,0,10,40,0,0,0,1,1,1,0
2,3,2,46,0,0,0,0,1,0,1,0,0,0,0,0,,0,15,10,20,0,0,1,1,1,0
1,2,9,89,0,0,0,0,4,0,0,0,0,0,0,0,,0,8,81,0,0,0,1,1,1,0
2,3,5,61,0,0,0,0,0,0,3,2,0,6,0,0,,0,16,32,12,0,0,1,1,1,0
1,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,1,0,0,0,1,1,1,0
1,2,2,22,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,12,0,0,0,1,1,1,0
1,2,2,17,0,0,0,0,1,0,0,0,0,0,0,0,,0,6,11,0,0,0,1,1,1,0
2,3,2,58,5,0,0,0,0,0,0,0,0,4,0,0,,0,22,12,23,0,0,1,1,1,0
4,5,5,42,0,0,0,0,0,0,0,0,0,8,0,0,,0,14,28,0,0,0,1,1,1,0
2,3,4,32,1,1,0,0,0,0,0,0,0,2,0,0,,0,8,24,0,0,0,1,1,1,0
4,5,3,56,1,1,0,0,0,0,0,0,0,0,0,0,,0,26,30,0,0,0,1,1,1,0
2,3,7,71,3,3,0,0,0,0,0,0,0,12,0,0,,0,13,58,0,0,0,1,1,1,0
2,3,4,91,7,7,0,0,2,0,0,0,0,17,0,0,,0,24,67,0,0,0,1,1,1,0
2,3,2,50,1,1,0,0,1,0,1,0,0,3,0,0,,0,18,17,14,0,0,1,1,1,0
2,3,3,37,0,0,0,0,1,0,0,0,0,0,0,0,,0,16,21,0,0,0,1,1,1,0
1,2,2,22,0,0,0,0,1,0,0,0,0,0,0,0,,0,6,16,0,0,0,1,1,1,0
2,3,3,112,12,12,0,0,0,0,1,0,0,10,0,0,,0,14,89,8,0,0,1,1,1,0
1,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,1,0,0,0,1,1,1,0
2,3,2,35,2,2,0,0,0,0,0,0,0,0,0,0,,0,16,19,0,0,0,1,1,1,0
1,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,1,0,0,0,1,1,1,0
3,4,6,102,7,7,0,0,1,0,0,0,0,10,0,0,,0,9,93,0,0,0,1,1,1,0
