PathLength,UrlLength,HostnameLength,NumNumericChars,PathLevel,NumDots,SubdomainLevel,NumUnderscore,NumDashInHostname,RandomString,Label
14,25,11,9,3,2,3,0,0,0,0
18,45,27,0,2,3,4,0,0,0,0
19,29,10,0,2,1,2,0,1,0,0
45,61,16,0,3,2,3,5,0,0,0
26,43,17,2,4,2,3,0,1,0,0
33,54,21,16,6,2,3,0,1,0,0
23,38,15,0,3,1,2,0,1,0,0
10,36,18,2,2,2,3,0,1,0,0
90,117,27,5,6,2,3,1,8,0,0
10,30,20,0,3,4,5,0,1,0,0
13,79,8,0,3,2,3,1,0,0,0
18,33,15,0,2,2,3,0,0,0,0
13,179,17,11,2,3,3,1,0,0,0
1,18,17,0,2,1,2,0,0,0,0
15,40,17,5,2,2,3,0,0,0,0
42,56,14,0,5,4,5,0,0,0,0
26,40,14,6,4,1,2,1,0,0,0
1,20,19,0,2,1,2,0,0,0,0
22,36,14,7,3,1,2,0,1,0,0
4,16,12,0,3,2,3,0,0,0,0
27,39,12,7,6,1,2,0,1,0,0
27,38,11,0,3,1,2,0,2,0,0
20,32,12,0,3,3,4,0,0,0,0
1,17,16,0,2,1,2,0,0,0,0
1,25,24,0,2,2,3,0,0,0,0
15,61,20,15,3,3,4,0,0,0,0
52,63,11,0,3,3,4,0,4,0,0
32,42,10,7,4,1,2,0,3,0,0
11,31,20,0,4,2,3,0,0,0,0
1,11,10,3,2,1,2,0,0,0,0
45,56,11,6,5,1,2,0,3,0,0
1,32,31,0,2,2,3,0,0,0,0
15,37,22,3,2,4,5,0,0,0,0
54,67,13,0,3,1,2,0,6,0,0
17,27,10,0,2,1,2,0,1,0,0
14,49,19,0,3,3,4,0,0,0,0
1,21,20,0,2,1,2,0,0,0,0
30,44,14,6,4,4,5,0,2,0,0
47,57,10,10,4,1,2,0,4,0,0
40,50,10,0,2,1,2,0,4,0,0
10,46,15,0,2,2,3,1,0,0,0
81,89,8,0,9,1,2,4,0,0,0
32,61,16,6,5,2,3,0,0,0,0
1,12,11,0,2,1,2,0,0,0,0
12,22,10,0,2,1,2,0,0,0,0
11,17,6,0,2,1,2,1,0,0,0
12,58,22,4,2,2,3,0,0,0,0
28,42,14,8,5,4,5,0,0,0,0
24,32,8,2,4,2,3,0,1,0,0
30,56,26,0,3,4,5,0,1,0,0
58,71,13,12,7,2,3,0,3,0,0
67,91,24,17,4,2,3,2,7,0,0
17,50,18,3,2,2,3,1,1,0,0
21,37,16,0,3,2,3,1,0,0,0
16,22,6,0,2,1,2,1,0,0,0
89,112,14,10,3,2,3,0,12,0,0
1,20,19,0,2,1,2,0,0,0,0
19,35,16,0,2,2,3,0,2,0,0
1,16,15,0,2,1,2,0,0,0,0
93,102,9,10,6,3,4,1,7,0,0
28,35,7,3,6,1,2,0,0,0,0
20,38,18,6,4,1,2,0,1,0,0
10,26,16,0,3,2,3,0,0,0,0
9,42,16,2,2,2,3,0,0,0,0
20,44,9,6,5,1,2,1,0,0,0
31,55,24,0,2,2,3,0,0,0,0
1,17,16,0,2,1,2,0,0,0,0
52,65,13,3,4,2,3,0,3,0,0
17,30,13,0,2,1,2,0,0,0,0
10,27,17,0,3,1,2,0,0,0,0
54,64,10,0,3,3,4,0,3,0,0
19,26,7,0,3,1,2,0,0,0,0
54,68,14,0,6,1,2,0,2,0,0
1,28,27,0,2,2,3,0,0,0,0
47,70,23,6,4,3,4,0,6,0,0
14,29,15,0,3,2,3,0,0,0,0
27,38,11,8,4,1,2,0,2,0,0
33,46,13,2,4,2,3,2,0,0,0
15,31,16,0,3,2,3,1,0,0,0
23,52,18,6,3,2,3,0,0,0,0
81,91,10,1,5,1,2,0,1,0,0
13,34,21,0,4,3,4,0,0,0,0
30,47,17,0,2,2,3,2,1,0,0
23,32,9,2,4,1,2,0,0,0,0
1,20,19,0,2,1,2,0,0,0,0
52,69,17,3,6,2,3,0,2,0,0
14,30,16,0,3,2,3,0,0,0,0
14,30,16,0,2,2,3,1,0,0,0
13,283,12,165,2,2,3,1,1,0,0
1,27,18,0,2,1,2,0,0,0,0
67,92,25,19,4,2,3,2,8,0,0
29,86,17,6,2,3,4,1,0,0,0
16,69,24,5,3,4,5,0,1,0,0
29,42,13,0,3,2,3,0,0,0,0
31,39,8,0,3,1,2,0,3,0,0
58,79,21,16,3,3,4,0,6,0,0
1,18,17,0,2,1,2,0,0,0,0
26,43,17,6,4,2,3,0,2,0,0
16,38,22,0,3,3,4,0,0,0,0
17,39,12,6,4,1,2,0,0,0,0
5,23,18,0,3,2,3,0,0,0,0
14,28,14,0,2,1,2,0,1,0,0
15,26,11,0,2,1,2,0,0,0,0
12,55,29,9,2,3,4,0,0,0,0
13,27,14,4,3,2,3,0,0,0,0
13,23,10,10,2,1,2,0,1,0,0
9,24,15,0,2,2,3,0,0,0,0
20,37,17,0,3,1,2,0,3,0,0
38,65,27,6,5,3,4,0,1,0,0
9,20,11,0,2,1,2,0,0,0,0
13,24,11,4,2,1,2,0,0,0,0
43,58,15,0,3,3,4,0,2,0,0
14,31,17,0,4,2,3,0,0,0,0
38,53,15,1,5,1,2,1,0,0,0
12,33,21,1,2,2,3,0,0,0,0
16,24,8,7,4,1,2,0,0,0,0
31,42,11,0,3,4,5,0,0,0,0
6,16,10,0,2,2,3,0,0,0,0
1,24,23,0,2,1,2,0,0,0,0
13,43,30,7,2,3,4,0,0,0,0
